sample_id,input_start_date,input_end_date,forecast_origin_date,target_date,lookback_days,forecast_horizon_days,window_stride_days,config_id,split
68,2020-05-15,2020-05-21,2020-05-21,2020-05-28,7,7,1,L7_H7_S1,train
69,2020-05-16,2020-05-22,2020-05-22,2020-05-29,7,7,1,L7_H7_S1,train
70,2020-05-17,2020-05-23,2020-05-23,2020-05-30,7,7,1,L7_H7_S1,train
71,2020-05-18,2020-05-24,2020-05-24,2020-05-31,7,7,1,L7_H7_S1,train
72,2020-05-19,2020-05-25,2020-05-25,2020-06-01,7,7,1,L7_H7_S1,train
73,2020-05-20,2020-05-26,2020-05-26,2020-06-02,7,7,1,L7_H7_S1,train
74,2020-05-21,2020-05-27,2020-05-27,2020-06-03,7,7,1,L7_H7_S1,train
75,2020-05-22,2020-05-28,2020-05-28,2020-06-04,7,7,1,L7_H7_S1,train
76,2020-05-23,2020-05-29,2020-05-29,2020-06-05,7,7,1,L7_H7_S1,train
77,2020-05-24,2020-05-30,2020-05-30,2020-06-06,7,7,1,L7_H7_S1,train
78,2020-05-25,2020-05-31,2020-05-31,2020-06-07,7,7,1,L7_H7_S1,train
79,2020-05-26,2020-06-01,2020-06-01,2020-06-08,7,7,1,L7_H7_S1,train
80,2020-05-27,2020-06-02,2020-06-02,2020-06-09,7,7,1,L7_H7_S1,train
81,2020-05-28,2020-06-03,2020-06-03,2020-06-10,7,7,1,L7_H7_S1,train
82,2020-05-29,2020-06-04,2020-06-04,2020-06-11,7,7,1,L7_H7_S1,train
83,2020-05-30,2020-06-05,2020-06-05,2020-06-12,7,7,1,L7_H7_S1,train
84,2020-05-31,2020-06-06,2020-06-06,2020-06-13,7,7,1,L7_H7_S1,train
85,2020-06-01,2020-06-07,2020-06-07,2020-06-14,7,7,1,L7_H7_S1,train
86,2020-06-02,2020-06-08,2020-06-08,2020-06-15,7,7,1,L7_H7_S1,train
87,2020-06-03,2020-06-09,2020-06-09,2020-06-16,7,7,1,L7_H7_S1,train
88,2020-06-04,2020-06-10,2020-06-10,2020-06-17,7,7,1,L7_H7_S1,train
89,2020-06-05,2020-06-11,2020-06-11,2020-06-18,7,7,1,L7_H7_S1,train
90,2020-06-06,2020-06-12,2020-06-12,2020-06-19,7,7,1,L7_H7_S1,train
91,2020-06-07,2020-06-13,2020-06-13,2020-06-20,7,7,1,L7_H7_S1,train
92,2020-06-08,2020-06-14,2020-06-14,2020-06-21,7,7,1,L7_H7_S1,train
93,2020-06-09,2020-06-15,2020-06-15,2020-06-22,7,7,1,L7_H7_S1,train
94,2020-06-10,2020-06-16,2020-06-16,2020-06-23,7,7,1,L7_H7_S1,train
95,2020-06-11,2020-06-17,2020-06-17,2020-06-24,7,7,1,L7_H7_S1,train
96,2020-06-12,2020-06-18,2020-06-18,2020-06-25,7,7,1,L7_H7_S1,train
97,2020-06-13,2020-06-19,2020-06-19,2020-06-26,7,7,1,L7_H7_S1,train
98,2020-06-14,2020-06-20,2020-06-20,2020-06-27,7,7,1,L7_H7_S1,train
99,2020-06-15,2020-06-21,2020-06-21,2020-06-28,7,7,1,L7_H7_S1,train
100,2020-06-16,2020-06-22,2020-06-22,2020-06-29,7,7,1,L7_H7_S1,train
101,2020-06-18,2020-06-24,2020-06-24,2020-07-01,7,7,1,L7_H7_S1,train
102,2020-06-19,2020-06-25,2020-06-25,2020-07-02,7,7,1,L7_H7_S1,train
103,2020-06-20,2020-06-26,2020-06-26,2020-07-03,7,7,1,L7_H7_S1,train
104,2020-06-21,2020-06-27,2020-06-27,2020-07-04,7,7,1,L7_H7_S1,train
105,2020-06-22,2020-06-28,2020-06-28,2020-07-05,7,7,1,L7_H7_S1,train
106,2020-06-23,2020-06-29,2020-06-29,2020-07-06,7,7,1,L7_H7_S1,train
107,2020-07-01,2020-07-07,2020-07-07,2020-07-14,7,7,1,L7_H7_S1,train
108,2020-07-02,2020-07-08,2020-07-08,2020-07-15,7,7,1,L7_H7_S1,train
109,2020-07-03,2020-07-09,2020-07-09,2020-07-16,7,7,1,L7_H7_S1,train
110,2020-07-04,2020-07-10,2020-07-10,2020-07-17,7,7,1,L7_H7_S1,train
111,2020-07-05,2020-07-11,2020-07-11,2020-07-18,7,7,1,L7_H7_S1,train
112,2020-07-06,2020-07-12,2020-07-12,2020-07-19,7,7,1,L7_H7_S1,train
113,2020-07-07,2020-07-13,2020-07-13,2020-07-20,7,7,1,L7_H7_S1,train
114,2020-07-08,2020-07-14,2020-07-14,2020-07-21,7,7,1,L7_H7_S1,train
115,2020-07-09,2020-07-15,2020-07-15,2020-07-22,7,7,1,L7_H7_S1,train
116,2020-07-10,2020-07-16,2020-07-16,2020-07-23,7,7,1,L7_H7_S1,train
117,2020-07-11,2020-07-17,2020-07-17,2020-07-24,7,7,1,L7_H7_S1,train
118,2020-07-14,2020-07-20,2020-07-20,2020-07-27,7,7,1,L7_H7_S1,train
119,2020-07-15,2020-07-21,2020-07-21,2020-07-28,7,7,1,L7_H7_S1,train
120,2020-07-16,2020-07-22,2020-07-22,2020-07-29,7,7,1,L7_H7_S1,train
121,2020-07-17,2020-07-23,2020-07-23,2020-07-30,7,7,1,L7_H7_S1,train
122,2020-07-18,2020-07-24,2020-07-24,2020-07-31,7,7,1,L7_H7_S1,train
123,2020-07-27,2020-08-02,2020-08-02,2020-08-09,7,7,1,L7_H7_S1,train
124,2020-07-28,2020-08-03,2020-08-03,2020-08-10,7,7,1,L7_H7_S1,train
125,2020-07-29,2020-08-04,2020-08-04,2020-08-11,7,7,1,L7_H7_S1,train
126,2020-07-30,2020-08-05,2020-08-05,2020-08-12,7,7,1,L7_H7_S1,train
127,2020-07-31,2020-08-06,2020-08-06,2020-08-13,7,7,1,L7_H7_S1,train
128,2020-08-01,2020-08-07,2020-08-07,2020-08-14,7,7,1,L7_H7_S1,train
129,2020-08-02,2020-08-08,2020-08-08,2020-08-15,7,7,1,L7_H7_S1,train
130,2020-08-03,2020-08-09,2020-08-09,2020-08-16,7,7,1,L7_H7_S1,train
131,2020-08-04,2020-08-10,2020-08-10,2020-08-17,7,7,1,L7_H7_S1,train
132,2020-08-05,2020-08-11,2020-08-11,2020-08-18,7,7,1,L7_H7_S1,train
133,2020-08-06,2020-08-12,2020-08-12,2020-08-19,7,7,1,L7_H7_S1,train
134,2020-08-07,2020-08-13,2020-08-13,2020-08-20,7,7,1,L7_H7_S1,train
135,2020-08-08,2020-08-14,2020-08-14,2020-08-21,7,7,1,L7_H7_S1,train
136,2020-08-09,2020-08-15,2020-08-15,2020-08-22,7,7,1,L7_H7_S1,train
137,2020-08-10,2020-08-16,2020-08-16,2020-08-23,7,7,1,L7_H7_S1,train
138,2020-08-11,2020-08-17,2020-08-17,2020-08-24,7,7,1,L7_H7_S1,train
139,2020-08-12,2020-08-18,2020-08-18,2020-08-25,7,7,1,L7_H7_S1,train
140,2020-08-13,2020-08-19,2020-08-19,2020-08-26,7,7,1,L7_H7_S1,train
141,2020-08-14,2020-08-20,2020-08-20,2020-08-27,7,7,1,L7_H7_S1,train
142,2020-08-15,2020-08-21,2020-08-21,2020-08-28,7,7,1,L7_H7_S1,train
143,2020-08-16,2020-08-22,2020-08-22,2020-08-29,7,7,1,L7_H7_S1,train
144,2020-08-17,2020-08-23,2020-08-23,2020-08-30,7,7,1,L7_H7_S1,train
145,2020-08-18,2020-08-24,2020-08-24,2020-08-31,7,7,1,L7_H7_S1,train
146,2020-08-19,2020-08-25,2020-08-25,2020-09-01,7,7,1,L7_H7_S1,train
147,2020-08-20,2020-08-26,2020-08-26,2020-09-02,7,7,1,L7_H7_S1,train
148,2020-08-21,2020-08-27,2020-08-27,2020-09-03,7,7,1,L7_H7_S1,train
149,2020-08-22,2020-08-28,2020-08-28,2020-09-04,7,7,1,L7_H7_S1,train
150,2020-08-23,2020-08-29,2020-08-29,2020-09-05,7,7,1,L7_H7_S1,train
151,2020-08-24,2020-08-30,2020-08-30,2020-09-06,7,7,1,L7_H7_S1,train
152,2020-08-25,2020-08-31,2020-08-31,2020-09-07,7,7,1,L7_H7_S1,train
153,2020-08-26,2020-09-01,2020-09-01,2020-09-08,7,7,1,L7_H7_S1,train
154,2020-08-27,2020-09-02,2020-09-02,2020-09-09,7,7,1,L7_H7_S1,train
155,2020-08-28,2020-09-03,2020-09-03,2020-09-10,7,7,1,L7_H7_S1,train
156,2020-08-29,2020-09-04,2020-09-04,2020-09-11,7,7,1,L7_H7_S1,train
157,2020-08-30,2020-09-05,2020-09-05,2020-09-12,7,7,1,L7_H7_S1,train
158,2020-08-31,2020-09-06,2020-09-06,2020-09-13,7,7,1,L7_H7_S1,train
159,2020-09-01,2020-09-07,2020-09-07,2020-09-14,7,7,1,L7_H7_S1,train
160,2020-09-02,2020-09-08,2020-09-08,2020-09-15,7,7,1,L7_H7_S1,train
161,2020-09-03,2020-09-09,2020-09-09,2020-09-16,7,7,1,L7_H7_S1,train
162,2020-09-04,2020-09-10,2020-09-10,2020-09-17,7,7,1,L7_H7_S1,train
163,2020-09-05,2020-09-11,2020-09-11,2020-09-18,7,7,1,L7_H7_S1,train
164,2020-09-06,2020-09-12,2020-09-12,2020-09-19,7,7,1,L7_H7_S1,train
165,2020-09-07,2020-09-13,2020-09-13,2020-09-20,7,7,1,L7_H7_S1,train
166,2020-09-08,2020-09-14,2020-09-14,2020-09-21,7,7,1,L7_H7_S1,train
167,2020-09-09,2020-09-15,2020-09-15,2020-09-22,7,7,1,L7_H7_S1,train
168,2020-09-10,2020-09-16,2020-09-16,2020-09-23,7,7,1,L7_H7_S1,train
169,2020-09-11,2020-09-17,2020-09-17,2020-09-24,7,7,1,L7_H7_S1,train
170,2020-09-12,2020-09-18,2020-09-18,2020-09-25,7,7,1,L7_H7_S1,train
171,2020-09-13,2020-09-19,2020-09-19,2020-09-26,7,7,1,L7_H7_S1,train
172,2020-09-14,2020-09-20,2020-09-20,2020-09-27,7,7,1,L7_H7_S1,train
173,2020-09-15,2020-09-21,2020-09-21,2020-09-28,7,7,1,L7_H7_S1,train
174,2020-09-16,2020-09-22,2020-09-22,2020-09-29,7,7,1,L7_H7_S1,train
175,2020-09-17,2020-09-23,2020-09-23,2020-09-30,7,7,1,L7_H7_S1,train
176,2020-09-18,2020-09-24,2020-09-24,2020-10-01,7,7,1,L7_H7_S1,train
177,2020-09-19,2020-09-25,2020-09-25,2020-10-02,7,7,1,L7_H7_S1,train
178,2020-09-20,2020-09-26,2020-09-26,2020-10-03,7,7,1,L7_H7_S1,train
179,2020-09-21,2020-09-27,2020-09-27,2020-10-04,7,7,1,L7_H7_S1,train
180,2020-09-22,2020-09-28,2020-09-28,2020-10-05,7,7,1,L7_H7_S1,train
181,2020-09-23,2020-09-29,2020-09-29,2020-10-06,7,7,1,L7_H7_S1,train
182,2020-09-24,2020-09-30,2020-09-30,2020-10-07,7,7,1,L7_H7_S1,train
183,2020-09-25,2020-10-01,2020-10-01,2020-10-08,7,7,1,L7_H7_S1,train
184,2020-09-26,2020-10-02,2020-10-02,2020-10-09,7,7,1,L7_H7_S1,train
185,2020-09-27,2020-10-03,2020-10-03,2020-10-10,7,7,1,L7_H7_S1,train
186,2020-09-28,2020-10-04,2020-10-04,2020-10-11,7,7,1,L7_H7_S1,train
187,2020-09-29,2020-10-05,2020-10-05,2020-10-12,7,7,1,L7_H7_S1,train
188,2020-09-30,2020-10-06,2020-10-06,2020-10-13,7,7,1,L7_H7_S1,train
189,2020-10-01,2020-10-07,2020-10-07,2020-10-14,7,7,1,L7_H7_S1,train
190,2020-10-02,2020-10-08,2020-10-08,2020-10-15,7,7,1,L7_H7_S1,train
191,2020-10-03,2020-10-09,2020-10-09,2020-10-16,7,7,1,L7_H7_S1,train
192,2020-10-04,2020-10-10,2020-10-10,2020-10-17,7,7,1,L7_H7_S1,train
193,2020-10-05,2020-10-11,2020-10-11,2020-10-18,7,7,1,L7_H7_S1,train
194,2020-10-06,2020-10-12,2020-10-12,2020-10-19,7,7,1,L7_H7_S1,train
195,2020-10-07,2020-10-13,2020-10-13,2020-10-20,7,7,1,L7_H7_S1,train
196,2020-10-08,2020-10-14,2020-10-14,2020-10-21,7,7,1,L7_H7_S1,train
197,2020-10-09,2020-10-15,2020-10-15,2020-10-22,7,7,1,L7_H7_S1,train
198,2020-10-10,2020-10-16,2020-10-16,2020-10-23,7,7,1,L7_H7_S1,train
199,2020-10-11,2020-10-17,2020-10-17,2020-10-24,7,7,1,L7_H7_S1,train
200,2020-10-12,2020-10-18,2020-10-18,2020-10-25,7,7,1,L7_H7_S1,train
201,2020-10-13,2020-10-19,2020-10-19,2020-10-26,7,7,1,L7_H7_S1,train
202,2020-10-14,2020-10-20,2020-10-20,2020-10-27,7,7,1,L7_H7_S1,train
203,2020-10-15,2020-10-21,2020-10-21,2020-10-28,7,7,1,L7_H7_S1,train
204,2020-10-16,2020-10-22,2020-10-22,2020-10-29,7,7,1,L7_H7_S1,train
205,2020-10-17,2020-10-23,2020-10-23,2020-10-30,7,7,1,L7_H7_S1,train
206,2020-10-18,2020-10-24,2020-10-24,2020-10-31,7,7,1,L7_H7_S1,train
207,2020-10-19,2020-10-25,2020-10-25,2020-11-01,7,7,1,L7_H7_S1,train
208,2020-10-20,2020-10-26,2020-10-26,2020-11-02,7,7,1,L7_H7_S1,train
209,2020-10-21,2020-10-27,2020-10-27,2020-11-03,7,7,1,L7_H7_S1,train
210,2020-10-22,2020-10-28,2020-10-28,2020-11-04,7,7,1,L7_H7_S1,train
211,2020-10-23,2020-10-29,2020-10-29,2020-11-05,7,7,1,L7_H7_S1,train
212,2020-10-24,2020-10-30,2020-10-30,2020-11-06,7,7,1,L7_H7_S1,train
213,2020-10-25,2020-10-31,2020-10-31,2020-11-07,7,7,1,L7_H7_S1,train
214,2020-10-26,2020-11-01,2020-11-01,2020-11-08,7,7,1,L7_H7_S1,train
215,2020-10-27,2020-11-02,2020-11-02,2020-11-09,7,7,1,L7_H7_S1,train
216,2020-10-28,2020-11-03,2020-11-03,2020-11-10,7,7,1,L7_H7_S1,train
217,2020-10-29,2020-11-04,2020-11-04,2020-11-11,7,7,1,L7_H7_S1,train
218,2020-10-30,2020-11-05,2020-11-05,2020-11-12,7,7,1,L7_H7_S1,train
219,2020-10-31,2020-11-06,2020-11-06,2020-11-13,7,7,1,L7_H7_S1,train
220,2020-11-01,2020-11-07,2020-11-07,2020-11-14,7,7,1,L7_H7_S1,train
221,2020-11-02,2020-11-08,2020-11-08,2020-11-15,7,7,1,L7_H7_S1,train
222,2020-11-03,2020-11-09,2020-11-09,2020-11-16,7,7,1,L7_H7_S1,train
223,2020-11-04,2020-11-10,2020-11-10,2020-11-17,7,7,1,L7_H7_S1,train
224,2020-11-05,2020-11-11,2020-11-11,2020-11-18,7,7,1,L7_H7_S1,train
225,2020-11-06,2020-11-12,2020-11-12,2020-11-19,7,7,1,L7_H7_S1,train
226,2020-11-07,2020-11-13,2020-11-13,2020-11-20,7,7,1,L7_H7_S1,train
227,2020-11-08,2020-11-14,2020-11-14,2020-11-21,7,7,1,L7_H7_S1,train
228,2020-11-09,2020-11-15,2020-11-15,2020-11-22,7,7,1,L7_H7_S1,train
229,2020-11-10,2020-11-16,2020-11-16,2020-11-23,7,7,1,L7_H7_S1,train
230,2020-11-11,2020-11-17,2020-11-17,2020-11-24,7,7,1,L7_H7_S1,train
231,2020-11-12,2020-11-18,2020-11-18,2020-11-25,7,7,1,L7_H7_S1,train
232,2020-11-13,2020-11-19,2020-11-19,2020-11-26,7,7,1,L7_H7_S1,train
233,2020-11-14,2020-11-20,2020-11-20,2020-11-27,7,7,1,L7_H7_S1,train
234,2020-11-15,2020-11-21,2020-11-21,2020-11-28,7,7,1,L7_H7_S1,train
235,2020-11-16,2020-11-22,2020-11-22,2020-11-29,7,7,1,L7_H7_S1,train
236,2020-11-17,2020-11-23,2020-11-23,2020-11-30,7,7,1,L7_H7_S1,train
237,2020-11-18,2020-11-24,2020-11-24,2020-12-01,7,7,1,L7_H7_S1,train
238,2020-11-19,2020-11-25,2020-11-25,2020-12-02,7,7,1,L7_H7_S1,train
239,2020-11-20,2020-11-26,2020-11-26,2020-12-03,7,7,1,L7_H7_S1,train
240,2020-11-21,2020-11-27,2020-11-27,2020-12-04,7,7,1,L7_H7_S1,train
241,2020-11-22,2020-11-28,2020-11-28,2020-12-05,7,7,1,L7_H7_S1,train
242,2020-11-23,2020-11-29,2020-11-29,2020-12-06,7,7,1,L7_H7_S1,train
243,2020-11-24,2020-11-30,2020-11-30,2020-12-07,7,7,1,L7_H7_S1,train
244,2020-11-25,2020-12-01,2020-12-01,2020-12-08,7,7,1,L7_H7_S1,train
245,2020-11-26,2020-12-02,2020-12-02,2020-12-09,7,7,1,L7_H7_S1,train
246,2020-11-27,2020-12-03,2020-12-03,2020-12-10,7,7,1,L7_H7_S1,train
247,2020-11-28,2020-12-04,2020-12-04,2020-12-11,7,7,1,L7_H7_S1,train
248,2020-11-29,2020-12-05,2020-12-05,2020-12-12,7,7,1,L7_H7_S1,train
249,2020-11-30,2020-12-06,2020-12-06,2020-12-13,7,7,1,L7_H7_S1,train
250,2020-12-01,2020-12-07,2020-12-07,2020-12-14,7,7,1,L7_H7_S1,train
251,2020-12-02,2020-12-08,2020-12-08,2020-12-15,7,7,1,L7_H7_S1,train
252,2020-12-03,2020-12-09,2020-12-09,2020-12-16,7,7,1,L7_H7_S1,train
253,2020-12-04,2020-12-10,2020-12-10,2020-12-17,7,7,1,L7_H7_S1,train
254,2020-12-05,2020-12-11,2020-12-11,2020-12-18,7,7,1,L7_H7_S1,train
255,2020-12-06,2020-12-12,2020-12-12,2020-12-19,7,7,1,L7_H7_S1,train
256,2020-12-07,2020-12-13,2020-12-13,2020-12-20,7,7,1,L7_H7_S1,train
257,2020-12-08,2020-12-14,2020-12-14,2020-12-21,7,7,1,L7_H7_S1,train
258,2020-12-09,2020-12-15,2020-12-15,2020-12-22,7,7,1,L7_H7_S1,train
259,2020-12-10,2020-12-16,2020-12-16,2020-12-23,7,7,1,L7_H7_S1,train
260,2020-12-11,2020-12-17,2020-12-17,2020-12-24,7,7,1,L7_H7_S1,train
261,2020-12-12,2020-12-18,2020-12-18,2020-12-25,7,7,1,L7_H7_S1,train
262,2020-12-13,2020-12-19,2020-12-19,2020-12-26,7,7,1,L7_H7_S1,train
263,2020-12-14,2020-12-20,2020-12-20,2020-12-27,7,7,1,L7_H7_S1,train
264,2020-12-15,2020-12-21,2020-12-21,2020-12-28,7,7,1,L7_H7_S1,train
265,2020-12-16,2020-12-22,2020-12-22,2020-12-29,7,7,1,L7_H7_S1,train
266,2020-12-17,2020-12-23,2020-12-23,2020-12-30,7,7,1,L7_H7_S1,train
267,2020-12-18,2020-12-24,2020-12-24,2020-12-31,7,7,1,L7_H7_S1,train
268,2020-12-19,2020-12-25,2020-12-25,2021-01-01,7,7,1,L7_H7_S1,train
269,2020-12-20,2020-12-26,2020-12-26,2021-01-02,7,7,1,L7_H7_S1,train
270,2020-12-21,2020-12-27,2020-12-27,2021-01-03,7,7,1,L7_H7_S1,train
271,2020-12-22,2020-12-28,2020-12-28,2021-01-04,7,7,1,L7_H7_S1,train
272,2020-12-23,2020-12-29,2020-12-29,2021-01-05,7,7,1,L7_H7_S1,train
273,2020-12-24,2020-12-30,2020-12-30,2021-01-06,7,7,1,L7_H7_S1,train
274,2020-12-25,2020-12-31,2020-12-31,2021-01-07,7,7,1,L7_H7_S1,train
275,2020-12-26,2021-01-01,2021-01-01,2021-01-08,7,7,1,L7_H7_S1,train
276,2020-12-27,2021-01-02,2021-01-02,2021-01-09,7,7,1,L7_H7_S1,train
277,2020-12-28,2021-01-03,2021-01-03,2021-01-10,7,7,1,L7_H7_S1,train
278,2020-12-29,2021-01-04,2021-01-04,2021-01-11,7,7,1,L7_H7_S1,train
279,2020-12-30,2021-01-05,2021-01-05,2021-01-12,7,7,1,L7_H7_S1,train
280,2020-12-31,2021-01-06,2021-01-06,2021-01-13,7,7,1,L7_H7_S1,train
281,2021-01-01,2021-01-07,2021-01-07,2021-01-14,7,7,1,L7_H7_S1,train
282,2021-01-02,2021-01-08,2021-01-08,2021-01-15,7,7,1,L7_H7_S1,train
283,2021-01-03,2021-01-09,2021-01-09,2021-01-16,7,7,1,L7_H7_S1,train
284,2021-01-04,2021-01-10,2021-01-10,2021-01-17,7,7,1,L7_H7_S1,train
285,2021-01-05,2021-01-11,2021-01-11,2021-01-18,7,7,1,L7_H7_S1,train
286,2021-01-06,2021-01-12,2021-01-12,2021-01-19,7,7,1,L7_H7_S1,train
287,2021-01-07,2021-01-13,2021-01-13,2021-01-20,7,7,1,L7_H7_S1,train
288,2021-01-08,2021-01-14,2021-01-14,2021-01-21,7,7,1,L7_H7_S1,train
289,2021-01-09,2021-01-15,2021-01-15,2021-01-22,7,7,1,L7_H7_S1,train
290,2021-01-10,2021-01-16,2021-01-16,2021-01-23,7,7,1,L7_H7_S1,train
291,2021-01-11,2021-01-17,2021-01-17,2021-01-24,7,7,1,L7_H7_S1,train
292,2021-01-12,2021-01-18,2021-01-18,2021-01-25,7,7,1,L7_H7_S1,train
293,2021-01-13,2021-01-19,2021-01-19,2021-01-26,7,7,1,L7_H7_S1,train
294,2021-01-14,2021-01-20,2021-01-20,2021-01-27,7,7,1,L7_H7_S1,train
